Date,Generated (kWh),Efficiency,System Name,Location,System Size (kW),Solar_Irradiance,Temperature_2m,Cloud_Cover
3/11/2024,733,1.453283767,Pentaari,Greece,504.375,11.31,9.8,97
3/11/2024,478.394,4.252391111,DeCrescent 178kW PV,United States,112.5,18.24,25.6,86
3/11/2024,1592.318,3.794576174,MAWC,Maldives,419.63,26.33,28.7,4
3/11/2024,1242.953,2.451100375,siris-D-500kW,Greece,507.1,9.11,10.9,91
3/12/2024,147.167,1.603126362,HLT1 Klagenfurt Lastenstrasse,Austria,91.8,10.15,7.6,92
3/12/2024,684.799,6.340731481,Nugali,Brazil,108,23.75,24.2,68
3/12/2024,733.713,6.521893333,DeCrescent 178kW PV,United States,112.5,15.41,26.2,99
3/12/2024,361.43,0.725151479,Schipper Power- Three,Netherlands,498.42,6.69,8.3,96
3/12/2024,1953.74,3.852770657,siris-D-500kW,Greece,507.1,12.44,12.1,92
3/12/2024,1877.725,4.474715821,MAWC,Maldives,419.63,24.42,28.7,70
3/12/2024,1448,2.870879802,Pentaari,Greece,504.375,14.54,8.2,74
3/12/2024,46.296,0.92592,Wray Farms,United Kingdom,50,3.72,8.7,100
3/12/2024,464.006,1.8360478,Wannon Water,Australia,252.72,8.57,18.7,95
3/12/2024,36.033,0.554353846,Feuerwehr,Switzerland,65,7.95,6.4,80
3/13/2024,40.536,0.623630769,Feuerwehr,Switzerland,65,3.7,7.1,98
3/13/2024,2980.077,5.876704792,siris-D-500kW,Greece,507.1,16.07,11,76
